row,col,value,value_hex
0,0,0.004451302085757266,0x1.23b874e2089efp-8
0,1,0.06292927498995216,0x1.01c220a0af740p-4
1,0,0.06292927498995216,0x1.01c220a0af740p-4
1,1,0.06292927498995216,0x1.01c220a0af740p-4
1,2,0.0631959887100773,0x1.02d9cc0bf87e3p-4
2,1,0.0631959887100773,0x1.02d9cc0bf87e3p-4
2,2,0.0631959887100773,0x1.02d9cc0bf87e3p-4
2,3,0.09888114894054817,0x1.9504664e3fbb4p-4
3,2,0.09888114894054817,0x1.9504664e3fbb4p-4
3,3,0.09888114894054817,0x1.9504664e3fbb4p-4
3,4,0.6155114860691003,0x1.3b24524df5529p-1
4,3,0.6155114860691003,0x1.3b24524df5529p-1
4,4,0.6155114860691003,0x1.3b24524df5529p-1
4,5,0.6155114860691003,0x1.3b24524df5529p-1
5,4,0.6155114860691003,0x1.3b24524df5529p-1
5,5,0.08465816459599482,0x1.5ac2850477886p-4
5,6,0.08465816459599482,0x1.5ac2850477886p-4
6,5,0.08465816459599482,0x1.5ac2850477886p-4
6,6,0.04761887146376113,0x1.861802f37f3c5p-5
6,7,0.04761887146376113,0x1.861802f37f3c5p-5
7,6,0.04761887146376113,0x1.861802f37f3c5p-5
7,7,0.022753763144808897,0x1.74cc332458378p-6
