label,probe_value,probe_value_hex,gudhi,ripser,dionysus,all_equal,critical_value,critical_value_hex
below_min,0.007530373521149158,0x1.ed82b3fffffffp-8,0,0,0,True,,
after_0x1.ed82b40000000p-8,0.007530373521149159,0x1.ed82b40000001p-8,1,1,1,True,0.0075303735211491585,0x1.ed82b40000000p-8
after_0x1.33c1c20000000p-6,0.01878398843109608,0x1.33c1c20000001p-6,2,2,2,True,0.018783988431096077,0x1.33c1c20000000p-6
after_0x1.dd89500000000p-6,0.029146507382392887,0x1.dd89500000001p-6,2,2,2,True,0.029146507382392883,0x1.dd89500000000p-6
after_0x1.00c96c0000000p-5,0.03134604543447495,0x1.00c96c0000001p-5,1,1,1,True,0.031346045434474945,0x1.00c96c0000000p-5
after_0x1.fc5d080000000p-5,0.06205607950687409,0x1.fc5d080000001p-5,2,2,2,True,0.062056079506874084,0x1.fc5d080000000p-5
after_0x1.cccca00000000p-4,0.11249983310699464,0x1.cccca00000001p-4,2,2,2,True,0.11249983310699463,0x1.cccca00000000p-4
after_0x1.1054e20000000p-2,0.26594880223274237,0x1.1054e20000001p-2,2,2,2,True,0.2659488022327423,0x1.1054e20000000p-2
after_0x1.e4086c0000000p-2,0.472688376903534,0x1.e4086c0000001p-2,1,1,1,True,0.47268837690353394,0x1.e4086c0000000p-2
