label,probe_value,probe_value_hex,gudhi,ripser,dionysus,all_equal,critical_value,critical_value_hex
below_min,0.007530373388471042,0x1.ed82b36e1e6e2p-8,0,0,0,True,,
after_0x1.ed82b36e1e6e3p-8,0.0075303733884710435,0x1.ed82b36e1e6e4p-8,1,0,0,False,0.007530373388471043,0x1.ed82b36e1e6e3p-8
after_0x1.33c1c22be85c5p-6,0.018783988590831212,0x1.33c1c22be85c6p-6,2,2,2,True,0.01878398859083121,0x1.33c1c22be85c5p-6
after_0x1.dd894fc45b9f4p-6,0.029146507165416186,0x1.dd894fc45b9f5p-6,2,2,2,True,0.029146507165416183,0x1.dd894fc45b9f4p-6
after_0x1.00c96cb145f0fp-5,0.0313460467243073,0x1.00c96cb145f10p-5,1,1,1,True,0.03134604672430729,0x1.00c96cb145f0fp-5
after_0x1.fc5d08dcca7ebp-5,0.06205608111334002,0x1.fc5d08dcca7ecp-5,2,2,2,True,0.06205608111334001,0x1.fc5d08dcca7ebp-5
after_0x1.cccca0493d8e1p-4,0.11249983417278345,0x1.cccca0493d8e2p-4,2,2,2,True,0.11249983417278343,0x1.cccca0493d8e1p-4
after_0x1.1054e152cce4dp-2,0.2659487921511968,0x1.1054e152cce4ep-2,2,2,2,True,0.26594879215119677,0x1.1054e152cce4dp-2
after_0x1.e4086bfc64f03p-2,0.47268837669365404,0x1.e4086bfc64f04p-2,1,2,2,False,0.472688376693654,0x1.e4086bfc64f03p-2
