label,probe_value,probe_value_hex,gudhi,ripser,dionysus,all_equal,critical_value,critical_value_hex
below_min,0.007812499999999999,0x1.fffffffffffffp-8,0,0,0,True,,
after_0x1.0000000000000p-7,0.007812500000000002,0x1.0000000000001p-7,1,1,1,True,0.0078125,0x1.0000000000000p-7
after_0x1.3000000000000p-6,0.018554687500000003,0x1.3000000000001p-6,2,2,2,True,0.0185546875,0x1.3000000000000p-6
after_0x1.e000000000000p-6,0.029296875000000003,0x1.e000000000001p-6,2,2,2,True,0.029296875,0x1.e000000000000p-6
after_0x1.0000000000000p-5,0.03125000000000001,0x1.0000000000001p-5,1,1,1,True,0.03125,0x1.0000000000000p-5
after_0x1.0000000000000p-4,0.06250000000000001,0x1.0000000000001p-4,2,2,2,True,0.0625,0x1.0000000000000p-4
after_0x1.cc00000000000p-4,0.11230468750000001,0x1.cc00000000001p-4,2,2,2,True,0.1123046875,0x1.cc00000000000p-4
after_0x1.1000000000000p-2,0.26562500000000006,0x1.1000000000001p-2,2,2,2,True,0.265625,0x1.1000000000000p-2
after_0x1.e400000000000p-2,0.47265625000000006,0x1.e400000000001p-2,1,1,1,True,0.47265625,0x1.e400000000000p-2
