case_id,benchmark_id,family,label,mode,coeff,alternate_coeff,maxdim,dimension,threshold_label,threshold_value,matrix_size,distance_matrix_hash,point_cloud_hash,boundary_condition,classification,mechanism,notes,baseline_zero_metric,ripser_dionysus_exact,float32_roundtrip_matches,gudhi_extra_interval_count,gudhi_extra_zero_length_count,gudhi_extra_threshold_touching_count,gudhi_extra_short_count,gudhi_extra_max_length,quantized_or_exact_variant_classification,quantized_or_exact_variant_exact_all,jitter_variant_classification,jitter_variant_exact_all,scale_half_exact_all,scale_double_exact_all,alpha_vs_2alpha_matches,alpha_vs_2alpha_candidate,alternate_coeff_classification,alternate_coeff_mechanism,alternate_coeff_same_classification,infinite_bar_counts_equal,infinite_bar_count_gudhi,infinite_bar_count_ripser,infinite_bar_count_dionysus,diagonal_zero,approximation_flags_disabled,input_matrix_path,point_cloud_path,case_audit_path,audit_case_command
tfim_obc_n6_g1p00__floating__p3__h1__full,tfim_obc_n6_g1p00__floating,A,"TFIM OBC N=6, g=1.00",floating,3,2,1,1,full,21.87969489144892,6,25887e7945644db9eab11e660e71c6fb097358f786c4ac6797650da7a153a049,,obc,convention mismatch,zero-length bar reporting,"The disagreement is entirely unmatched zero-length bars, which only GUDHI reports.",True,True,False,10,10,1,10,0.0,convention mismatch,False,convention mismatch,False,False,False,,False,convention mismatch,zero-length bar reporting,True,True,0,0,0,True,True,/mnt/c/Users/한구원/Desktop/Formal-Verification-and-Cross-Library-Reproducibility-of-Persistent-Homology-/artifacts/inputs/tfim_obc_n6_g1p00__floating/distance_matrix.npy,,/mnt/c/Users/한구원/Desktop/Formal-Verification-and-Cross-Library-Reproducibility-of-Persistent-Homology-/artifacts/audit/cases/tfim_obc_n6_g1p00__floating__p3__h1__full.json,PYTHONPATH=src python scripts/run_audit_conventions.py --conformance-dir artifacts --output-dir artifacts/audit --case-id tfim_obc_n6_g1p00__floating__p3__h1__full
tfim_obc_n6_g1p00__floating__p3__h2__selected,tfim_obc_n6_g1p00__floating,A,"TFIM OBC N=6, g=1.00",floating,3,2,2,0,selected,4.571710545762174,6,25887e7945644db9eab11e660e71c6fb097358f786c4ac6797650da7a153a049,,obc,floating-point artifact,float64-vs-float32 endpoint rounding,GUDHI matches Ripser.py/Dionysus after a float32 round-trip of the interval endpoints.,True,True,True,5,0,0,0,2.236225953952192,no discrepancy,True,floating-point artifact,False,False,False,,False,floating-point artifact,float64-vs-float32 endpoint rounding,True,True,1,1,1,True,True,/mnt/c/Users/한구원/Desktop/Formal-Verification-and-Cross-Library-Reproducibility-of-Persistent-Homology-/artifacts/inputs/tfim_obc_n6_g1p00__floating/distance_matrix.npy,,/mnt/c/Users/한구원/Desktop/Formal-Verification-and-Cross-Library-Reproducibility-of-Persistent-Homology-/artifacts/audit/cases/tfim_obc_n6_g1p00__floating__p3__h2__selected.json,PYTHONPATH=src python scripts/run_audit_conventions.py --conformance-dir artifacts --output-dir artifacts/audit --case-id tfim_obc_n6_g1p00__floating__p3__h2__selected
tfim_obc_n6_g1p00__floating__p3__h2__selected,tfim_obc_n6_g1p00__floating,A,"TFIM OBC N=6, g=1.00",floating,3,2,2,1,selected,4.571710545762174,6,25887e7945644db9eab11e660e71c6fb097358f786c4ac6797650da7a153a049,,obc,convention mismatch,zero-length bar reporting,"The disagreement is entirely unmatched zero-length bars, which only GUDHI reports.",True,True,False,2,2,2,2,0.0,convention mismatch,False,no discrepancy,True,True,False,,False,convention mismatch,zero-length bar reporting,True,True,0,0,0,True,True,/mnt/c/Users/한구원/Desktop/Formal-Verification-and-Cross-Library-Reproducibility-of-Persistent-Homology-/artifacts/inputs/tfim_obc_n6_g1p00__floating/distance_matrix.npy,,/mnt/c/Users/한구원/Desktop/Formal-Verification-and-Cross-Library-Reproducibility-of-Persistent-Homology-/artifacts/audit/cases/tfim_obc_n6_g1p00__floating__p3__h2__selected.json,PYTHONPATH=src python scripts/run_audit_conventions.py --conformance-dir artifacts --output-dir artifacts/audit --case-id tfim_obc_n6_g1p00__floating__p3__h2__selected
tfim_obc_n6_g1p00__floating__p3__h2__full,tfim_obc_n6_g1p00__floating,A,"TFIM OBC N=6, g=1.00",floating,3,2,2,0,full,21.87969489144892,6,25887e7945644db9eab11e660e71c6fb097358f786c4ac6797650da7a153a049,,obc,floating-point artifact,float64-vs-float32 endpoint rounding,GUDHI matches Ripser.py/Dionysus after a float32 round-trip of the interval endpoints.,True,True,True,5,0,0,0,2.236225953952192,no discrepancy,True,floating-point artifact,False,False,False,,False,floating-point artifact,float64-vs-float32 endpoint rounding,True,True,1,1,1,True,True,/mnt/c/Users/한구원/Desktop/Formal-Verification-and-Cross-Library-Reproducibility-of-Persistent-Homology-/artifacts/inputs/tfim_obc_n6_g1p00__floating/distance_matrix.npy,,/mnt/c/Users/한구원/Desktop/Formal-Verification-and-Cross-Library-Reproducibility-of-Persistent-Homology-/artifacts/audit/cases/tfim_obc_n6_g1p00__floating__p3__h2__full.json,PYTHONPATH=src python scripts/run_audit_conventions.py --conformance-dir artifacts --output-dir artifacts/audit --case-id tfim_obc_n6_g1p00__floating__p3__h2__full
tfim_obc_n6_g1p00__floating__p3__h2__full,tfim_obc_n6_g1p00__floating,A,"TFIM OBC N=6, g=1.00",floating,3,2,2,1,full,21.87969489144892,6,25887e7945644db9eab11e660e71c6fb097358f786c4ac6797650da7a153a049,,obc,convention mismatch,zero-length bar reporting,"The disagreement is entirely unmatched zero-length bars, which only GUDHI reports.",True,True,False,10,10,1,10,0.0,convention mismatch,False,convention mismatch,False,False,False,,False,convention mismatch,zero-length bar reporting,True,True,0,0,0,True,True,/mnt/c/Users/한구원/Desktop/Formal-Verification-and-Cross-Library-Reproducibility-of-Persistent-Homology-/artifacts/inputs/tfim_obc_n6_g1p00__floating/distance_matrix.npy,,/mnt/c/Users/한구원/Desktop/Formal-Verification-and-Cross-Library-Reproducibility-of-Persistent-Homology-/artifacts/audit/cases/tfim_obc_n6_g1p00__floating__p3__h2__full.json,PYTHONPATH=src python scripts/run_audit_conventions.py --conformance-dir artifacts --output-dir artifacts/audit --case-id tfim_obc_n6_g1p00__floating__p3__h2__full
tfim_obc_n6_g1p00__floating__p3__h2__full,tfim_obc_n6_g1p00__floating,A,"TFIM OBC N=6, g=1.00",floating,3,2,2,2,full,21.87969489144892,6,25887e7945644db9eab11e660e71c6fb097358f786c4ac6797650da7a153a049,,obc,convention mismatch,zero-length bar reporting,"The disagreement is entirely unmatched zero-length bars, which only GUDHI reports.",True,True,False,10,10,3,10,0.0,convention mismatch,False,convention mismatch,False,False,False,,False,convention mismatch,zero-length bar reporting,True,True,0,0,0,True,True,/mnt/c/Users/한구원/Desktop/Formal-Verification-and-Cross-Library-Reproducibility-of-Persistent-Homology-/artifacts/inputs/tfim_obc_n6_g1p00__floating/distance_matrix.npy,,/mnt/c/Users/한구원/Desktop/Formal-Verification-and-Cross-Library-Reproducibility-of-Persistent-Homology-/artifacts/audit/cases/tfim_obc_n6_g1p00__floating__p3__h2__full.json,PYTHONPATH=src python scripts/run_audit_conventions.py --conformance-dir artifacts --output-dir artifacts/audit --case-id tfim_obc_n6_g1p00__floating__p3__h2__full
tfim_obc_n6_g1p00__quantized__p2__h1__selected,tfim_obc_n6_g1p00__quantized,A,"TFIM OBC N=6, g=1.00",quantized,2,3,1,1,selected,4.5712890625,6,49ff68439dd04efb0cb5af4c502a622209516d419c2677147fc692356a339360,,obc,convention mismatch,zero-length bar reporting,"The disagreement is entirely unmatched zero-length bars, which only GUDHI reports.",True,True,False,2,2,2,2,0.0,convention mismatch,False,no discrepancy,True,True,False,,False,convention mismatch,zero-length bar reporting,True,True,0,0,0,True,True,/mnt/c/Users/한구원/Desktop/Formal-Verification-and-Cross-Library-Reproducibility-of-Persistent-Homology-/artifacts/inputs/tfim_obc_n6_g1p00__quantized/distance_matrix.npy,,/mnt/c/Users/한구원/Desktop/Formal-Verification-and-Cross-Library-Reproducibility-of-Persistent-Homology-/artifacts/audit/cases/tfim_obc_n6_g1p00__quantized__p2__h1__selected.json,PYTHONPATH=src python scripts/run_audit_conventions.py --conformance-dir artifacts --output-dir artifacts/audit --case-id tfim_obc_n6_g1p00__quantized__p2__h1__selected
tfim_obc_n6_g1p00__quantized__p2__h1__full,tfim_obc_n6_g1p00__quantized,A,"TFIM OBC N=6, g=1.00",quantized,2,3,1,1,full,21.8798828125,6,49ff68439dd04efb0cb5af4c502a622209516d419c2677147fc692356a339360,,obc,convention mismatch,zero-length bar reporting,"The disagreement is entirely unmatched zero-length bars, which only GUDHI reports.",True,True,False,10,10,1,10,0.0,convention mismatch,False,convention mismatch,False,False,False,,False,convention mismatch,zero-length bar reporting,True,True,0,0,0,True,True,/mnt/c/Users/한구원/Desktop/Formal-Verification-and-Cross-Library-Reproducibility-of-Persistent-Homology-/artifacts/inputs/tfim_obc_n6_g1p00__quantized/distance_matrix.npy,,/mnt/c/Users/한구원/Desktop/Formal-Verification-and-Cross-Library-Reproducibility-of-Persistent-Homology-/artifacts/audit/cases/tfim_obc_n6_g1p00__quantized__p2__h1__full.json,PYTHONPATH=src python scripts/run_audit_conventions.py --conformance-dir artifacts --output-dir artifacts/audit --case-id tfim_obc_n6_g1p00__quantized__p2__h1__full
tfim_obc_n6_g1p00__quantized__p2__h2__selected,tfim_obc_n6_g1p00__quantized,A,"TFIM OBC N=6, g=1.00",quantized,2,3,2,1,selected,4.5712890625,6,49ff68439dd04efb0cb5af4c502a622209516d419c2677147fc692356a339360,,obc,convention mismatch,zero-length bar reporting,"The disagreement is entirely unmatched zero-length bars, which only GUDHI reports.",True,True,False,2,2,2,2,0.0,convention mismatch,False,no discrepancy,True,True,False,,False,convention mismatch,zero-length bar reporting,True,True,0,0,0,True,True,/mnt/c/Users/한구원/Desktop/Formal-Verification-and-Cross-Library-Reproducibility-of-Persistent-Homology-/artifacts/inputs/tfim_obc_n6_g1p00__quantized/distance_matrix.npy,,/mnt/c/Users/한구원/Desktop/Formal-Verification-and-Cross-Library-Reproducibility-of-Persistent-Homology-/artifacts/audit/cases/tfim_obc_n6_g1p00__quantized__p2__h2__selected.json,PYTHONPATH=src python scripts/run_audit_conventions.py --conformance-dir artifacts --output-dir artifacts/audit --case-id tfim_obc_n6_g1p00__quantized__p2__h2__selected
tfim_obc_n6_g1p00__quantized__p2__h2__full,tfim_obc_n6_g1p00__quantized,A,"TFIM OBC N=6, g=1.00",quantized,2,3,2,1,full,21.8798828125,6,49ff68439dd04efb0cb5af4c502a622209516d419c2677147fc692356a339360,,obc,convention mismatch,zero-length bar reporting,"The disagreement is entirely unmatched zero-length bars, which only GUDHI reports.",True,True,False,10,10,1,10,0.0,convention mismatch,False,convention mismatch,False,False,False,,False,convention mismatch,zero-length bar reporting,True,True,0,0,0,True,True,/mnt/c/Users/한구원/Desktop/Formal-Verification-and-Cross-Library-Reproducibility-of-Persistent-Homology-/artifacts/inputs/tfim_obc_n6_g1p00__quantized/distance_matrix.npy,,/mnt/c/Users/한구원/Desktop/Formal-Verification-and-Cross-Library-Reproducibility-of-Persistent-Homology-/artifacts/audit/cases/tfim_obc_n6_g1p00__quantized__p2__h2__full.json,PYTHONPATH=src python scripts/run_audit_conventions.py --conformance-dir artifacts --output-dir artifacts/audit --case-id tfim_obc_n6_g1p00__quantized__p2__h2__full
tfim_obc_n6_g1p00__quantized__p2__h2__full,tfim_obc_n6_g1p00__quantized,A,"TFIM OBC N=6, g=1.00",quantized,2,3,2,2,full,21.8798828125,6,49ff68439dd04efb0cb5af4c502a622209516d419c2677147fc692356a339360,,obc,convention mismatch,zero-length bar reporting,"The disagreement is entirely unmatched zero-length bars, which only GUDHI reports.",True,True,False,10,10,3,10,0.0,convention mismatch,False,convention mismatch,False,False,False,,False,convention mismatch,zero-length bar reporting,True,True,0,0,0,True,True,/mnt/c/Users/한구원/Desktop/Formal-Verification-and-Cross-Library-Reproducibility-of-Persistent-Homology-/artifacts/inputs/tfim_obc_n6_g1p00__quantized/distance_matrix.npy,,/mnt/c/Users/한구원/Desktop/Formal-Verification-and-Cross-Library-Reproducibility-of-Persistent-Homology-/artifacts/audit/cases/tfim_obc_n6_g1p00__quantized__p2__h2__full.json,PYTHONPATH=src python scripts/run_audit_conventions.py --conformance-dir artifacts --output-dir artifacts/audit --case-id tfim_obc_n6_g1p00__quantized__p2__h2__full
tfim_obc_n6_g1p00__quantized__p3__h1__selected,tfim_obc_n6_g1p00__quantized,A,"TFIM OBC N=6, g=1.00",quantized,3,2,1,1,selected,4.5712890625,6,49ff68439dd04efb0cb5af4c502a622209516d419c2677147fc692356a339360,,obc,convention mismatch,zero-length bar reporting,"The disagreement is entirely unmatched zero-length bars, which only GUDHI reports.",True,True,False,2,2,2,2,0.0,convention mismatch,False,no discrepancy,True,True,False,,False,convention mismatch,zero-length bar reporting,True,True,0,0,0,True,True,/mnt/c/Users/한구원/Desktop/Formal-Verification-and-Cross-Library-Reproducibility-of-Persistent-Homology-/artifacts/inputs/tfim_obc_n6_g1p00__quantized/distance_matrix.npy,,/mnt/c/Users/한구원/Desktop/Formal-Verification-and-Cross-Library-Reproducibility-of-Persistent-Homology-/artifacts/audit/cases/tfim_obc_n6_g1p00__quantized__p3__h1__selected.json,PYTHONPATH=src python scripts/run_audit_conventions.py --conformance-dir artifacts --output-dir artifacts/audit --case-id tfim_obc_n6_g1p00__quantized__p3__h1__selected
tfim_obc_n6_g1p00__quantized__p3__h1__full,tfim_obc_n6_g1p00__quantized,A,"TFIM OBC N=6, g=1.00",quantized,3,2,1,1,full,21.8798828125,6,49ff68439dd04efb0cb5af4c502a622209516d419c2677147fc692356a339360,,obc,convention mismatch,zero-length bar reporting,"The disagreement is entirely unmatched zero-length bars, which only GUDHI reports.",True,True,False,10,10,1,10,0.0,convention mismatch,False,convention mismatch,False,False,False,,False,convention mismatch,zero-length bar reporting,True,True,0,0,0,True,True,/mnt/c/Users/한구원/Desktop/Formal-Verification-and-Cross-Library-Reproducibility-of-Persistent-Homology-/artifacts/inputs/tfim_obc_n6_g1p00__quantized/distance_matrix.npy,,/mnt/c/Users/한구원/Desktop/Formal-Verification-and-Cross-Library-Reproducibility-of-Persistent-Homology-/artifacts/audit/cases/tfim_obc_n6_g1p00__quantized__p3__h1__full.json,PYTHONPATH=src python scripts/run_audit_conventions.py --conformance-dir artifacts --output-dir artifacts/audit --case-id tfim_obc_n6_g1p00__quantized__p3__h1__full
tfim_obc_n6_g1p00__quantized__p3__h2__selected,tfim_obc_n6_g1p00__quantized,A,"TFIM OBC N=6, g=1.00",quantized,3,2,2,1,selected,4.5712890625,6,49ff68439dd04efb0cb5af4c502a622209516d419c2677147fc692356a339360,,obc,convention mismatch,zero-length bar reporting,"The disagreement is entirely unmatched zero-length bars, which only GUDHI reports.",True,True,False,2,2,2,2,0.0,convention mismatch,False,no discrepancy,True,True,False,,False,convention mismatch,zero-length bar reporting,True,True,0,0,0,True,True,/mnt/c/Users/한구원/Desktop/Formal-Verification-and-Cross-Library-Reproducibility-of-Persistent-Homology-/artifacts/inputs/tfim_obc_n6_g1p00__quantized/distance_matrix.npy,,/mnt/c/Users/한구원/Desktop/Formal-Verification-and-Cross-Library-Reproducibility-of-Persistent-Homology-/artifacts/audit/cases/tfim_obc_n6_g1p00__quantized__p3__h2__selected.json,PYTHONPATH=src python scripts/run_audit_conventions.py --conformance-dir artifacts --output-dir artifacts/audit --case-id tfim_obc_n6_g1p00__quantized__p3__h2__selected
tfim_obc_n6_g1p00__quantized__p3__h2__full,tfim_obc_n6_g1p00__quantized,A,"TFIM OBC N=6, g=1.00",quantized,3,2,2,1,full,21.8798828125,6,49ff68439dd04efb0cb5af4c502a622209516d419c2677147fc692356a339360,,obc,convention mismatch,zero-length bar reporting,"The disagreement is entirely unmatched zero-length bars, which only GUDHI reports.",True,True,False,10,10,1,10,0.0,convention mismatch,False,convention mismatch,False,False,False,,False,convention mismatch,zero-length bar reporting,True,True,0,0,0,True,True,/mnt/c/Users/한구원/Desktop/Formal-Verification-and-Cross-Library-Reproducibility-of-Persistent-Homology-/artifacts/inputs/tfim_obc_n6_g1p00__quantized/distance_matrix.npy,,/mnt/c/Users/한구원/Desktop/Formal-Verification-and-Cross-Library-Reproducibility-of-Persistent-Homology-/artifacts/audit/cases/tfim_obc_n6_g1p00__quantized__p3__h2__full.json,PYTHONPATH=src python scripts/run_audit_conventions.py --conformance-dir artifacts --output-dir artifacts/audit --case-id tfim_obc_n6_g1p00__quantized__p3__h2__full
tfim_obc_n6_g1p00__quantized__p3__h2__full,tfim_obc_n6_g1p00__quantized,A,"TFIM OBC N=6, g=1.00",quantized,3,2,2,2,full,21.8798828125,6,49ff68439dd04efb0cb5af4c502a622209516d419c2677147fc692356a339360,,obc,convention mismatch,zero-length bar reporting,"The disagreement is entirely unmatched zero-length bars, which only GUDHI reports.",True,True,False,10,10,3,10,0.0,convention mismatch,False,convention mismatch,False,False,False,,False,convention mismatch,zero-length bar reporting,True,True,0,0,0,True,True,/mnt/c/Users/한구원/Desktop/Formal-Verification-and-Cross-Library-Reproducibility-of-Persistent-Homology-/artifacts/inputs/tfim_obc_n6_g1p00__quantized/distance_matrix.npy,,/mnt/c/Users/한구원/Desktop/Formal-Verification-and-Cross-Library-Reproducibility-of-Persistent-Homology-/artifacts/audit/cases/tfim_obc_n6_g1p00__quantized__p3__h2__full.json,PYTHONPATH=src python scripts/run_audit_conventions.py --conformance-dir artifacts --output-dir artifacts/audit --case-id tfim_obc_n6_g1p00__quantized__p3__h2__full
tfim_pbc_n4_g0p50__floating__p2__h1__selected,tfim_pbc_n4_g0p50__floating,A,"TFIM PBC N=4, g=0.50",floating,2,3,1,0,selected,1.119133843184316,4,3512251ede57c0736500b2c075279f1e3be4adafd406694b1f21bd0967660530,,pbc,floating-point artifact,float64-vs-float32 endpoint rounding,GUDHI matches Ripser.py/Dionysus after a float32 round-trip of the interval endpoints.,True,True,True,3,0,3,0,1.119133843184316,no discrepancy,True,unresolved,False,True,False,,False,floating-point artifact,float64-vs-float32 endpoint rounding,True,True,1,1,1,True,True,/mnt/c/Users/한구원/Desktop/Formal-Verification-and-Cross-Library-Reproducibility-of-Persistent-Homology-/artifacts/inputs/tfim_pbc_n4_g0p50__floating/distance_matrix.npy,,/mnt/c/Users/한구원/Desktop/Formal-Verification-and-Cross-Library-Reproducibility-of-Persistent-Homology-/artifacts/audit/cases/tfim_pbc_n4_g0p50__floating__p2__h1__selected.json,PYTHONPATH=src python scripts/run_audit_conventions.py --conformance-dir artifacts --output-dir artifacts/audit --case-id tfim_pbc_n4_g0p50__floating__p2__h1__selected
tfim_pbc_n4_g0p50__floating__p2__h1__selected,tfim_pbc_n4_g0p50__floating,A,"TFIM PBC N=4, g=0.50",floating,2,3,1,1,selected,1.119133843184316,4,3512251ede57c0736500b2c075279f1e3be4adafd406694b1f21bd0967660530,,pbc,convention mismatch,truncated-filtration infinite-bar handling,The disagreement is entirely unmatched infinite bars born at the truncation threshold.,False,True,False,0,0,0,0,0.0,no discrepancy,True,convention mismatch,False,True,False,,False,convention mismatch,truncated-filtration infinite-bar handling,True,False,0,1,1,True,True,/mnt/c/Users/한구원/Desktop/Formal-Verification-and-Cross-Library-Reproducibility-of-Persistent-Homology-/artifacts/inputs/tfim_pbc_n4_g0p50__floating/distance_matrix.npy,,/mnt/c/Users/한구원/Desktop/Formal-Verification-and-Cross-Library-Reproducibility-of-Persistent-Homology-/artifacts/audit/cases/tfim_pbc_n4_g0p50__floating__p2__h1__selected.json,PYTHONPATH=src python scripts/run_audit_conventions.py --conformance-dir artifacts --output-dir artifacts/audit --case-id tfim_pbc_n4_g0p50__floating__p2__h1__selected
tfim_pbc_n4_g0p50__floating__p2__h1__full,tfim_pbc_n4_g0p50__floating,A,"TFIM PBC N=4, g=0.50",floating,2,3,1,0,full,1.1405648750053994,4,3512251ede57c0736500b2c075279f1e3be4adafd406694b1f21bd0967660530,,pbc,floating-point artifact,float64-vs-float32 endpoint rounding,GUDHI matches Ripser.py/Dionysus after a float32 round-trip of the interval endpoints.,True,True,True,3,0,0,0,1.119133843184316,no discrepancy,True,floating-point artifact,False,True,False,,False,floating-point artifact,float64-vs-float32 endpoint rounding,True,True,1,1,1,True,True,/mnt/c/Users/한구원/Desktop/Formal-Verification-and-Cross-Library-Reproducibility-of-Persistent-Homology-/artifacts/inputs/tfim_pbc_n4_g0p50__floating/distance_matrix.npy,,/mnt/c/Users/한구원/Desktop/Formal-Verification-and-Cross-Library-Reproducibility-of-Persistent-Homology-/artifacts/audit/cases/tfim_pbc_n4_g0p50__floating__p2__h1__full.json,PYTHONPATH=src python scripts/run_audit_conventions.py --conformance-dir artifacts --output-dir artifacts/audit --case-id tfim_pbc_n4_g0p50__floating__p2__h1__full
tfim_pbc_n4_g0p50__floating__p2__h1__full,tfim_pbc_n4_g0p50__floating,A,"TFIM PBC N=4, g=0.50",floating,2,3,1,1,full,1.1405648750053994,4,3512251ede57c0736500b2c075279f1e3be4adafd406694b1f21bd0967660530,,pbc,convention mismatch,zero-length bar reporting,The floating rerun adds endpoint drift on top of the same convention mismatch that persists after exact quantization.,True,True,False,3,2,3,2,0.0214310884475708,convention mismatch,False,unresolved,False,True,False,,False,convention mismatch,zero-length bar reporting,True,True,0,0,0,True,True,/mnt/c/Users/한구원/Desktop/Formal-Verification-and-Cross-Library-Reproducibility-of-Persistent-Homology-/artifacts/inputs/tfim_pbc_n4_g0p50__floating/distance_matrix.npy,,/mnt/c/Users/한구원/Desktop/Formal-Verification-and-Cross-Library-Reproducibility-of-Persistent-Homology-/artifacts/audit/cases/tfim_pbc_n4_g0p50__floating__p2__h1__full.json,PYTHONPATH=src python scripts/run_audit_conventions.py --conformance-dir artifacts --output-dir artifacts/audit --case-id tfim_pbc_n4_g0p50__floating__p2__h1__full
tfim_pbc_n4_g0p50__floating__p2__h2__selected,tfim_pbc_n4_g0p50__floating,A,"TFIM PBC N=4, g=0.50",floating,2,3,2,0,selected,1.119133843184316,4,3512251ede57c0736500b2c075279f1e3be4adafd406694b1f21bd0967660530,,pbc,floating-point artifact,float64-vs-float32 endpoint rounding,GUDHI matches Ripser.py/Dionysus after a float32 round-trip of the interval endpoints.,True,True,True,3,0,3,0,1.119133843184316,no discrepancy,True,unresolved,False,True,False,,False,floating-point artifact,float64-vs-float32 endpoint rounding,True,True,1,1,1,True,True,/mnt/c/Users/한구원/Desktop/Formal-Verification-and-Cross-Library-Reproducibility-of-Persistent-Homology-/artifacts/inputs/tfim_pbc_n4_g0p50__floating/distance_matrix.npy,,/mnt/c/Users/한구원/Desktop/Formal-Verification-and-Cross-Library-Reproducibility-of-Persistent-Homology-/artifacts/audit/cases/tfim_pbc_n4_g0p50__floating__p2__h2__selected.json,PYTHONPATH=src python scripts/run_audit_conventions.py --conformance-dir artifacts --output-dir artifacts/audit --case-id tfim_pbc_n4_g0p50__floating__p2__h2__selected
tfim_pbc_n4_g0p50__floating__p2__h2__selected,tfim_pbc_n4_g0p50__floating,A,"TFIM PBC N=4, g=0.50",floating,2,3,2,1,selected,1.119133843184316,4,3512251ede57c0736500b2c075279f1e3be4adafd406694b1f21bd0967660530,,pbc,convention mismatch,truncated-filtration infinite-bar handling,The disagreement is entirely unmatched infinite bars born at the truncation threshold.,False,True,False,0,0,0,0,0.0,no discrepancy,True,convention mismatch,False,True,False,,False,convention mismatch,truncated-filtration infinite-bar handling,True,False,0,1,1,True,True,/mnt/c/Users/한구원/Desktop/Formal-Verification-and-Cross-Library-Reproducibility-of-Persistent-Homology-/artifacts/inputs/tfim_pbc_n4_g0p50__floating/distance_matrix.npy,,/mnt/c/Users/한구원/Desktop/Formal-Verification-and-Cross-Library-Reproducibility-of-Persistent-Homology-/artifacts/audit/cases/tfim_pbc_n4_g0p50__floating__p2__h2__selected.json,PYTHONPATH=src python scripts/run_audit_conventions.py --conformance-dir artifacts --output-dir artifacts/audit --case-id tfim_pbc_n4_g0p50__floating__p2__h2__selected
tfim_pbc_n4_g0p50__floating__p2__h2__full,tfim_pbc_n4_g0p50__floating,A,"TFIM PBC N=4, g=0.50",floating,2,3,2,0,full,1.1405648750053994,4,3512251ede57c0736500b2c075279f1e3be4adafd406694b1f21bd0967660530,,pbc,floating-point artifact,float64-vs-float32 endpoint rounding,GUDHI matches Ripser.py/Dionysus after a float32 round-trip of the interval endpoints.,True,True,True,3,0,0,0,1.119133843184316,no discrepancy,True,floating-point artifact,False,True,False,,False,floating-point artifact,float64-vs-float32 endpoint rounding,True,True,1,1,1,True,True,/mnt/c/Users/한구원/Desktop/Formal-Verification-and-Cross-Library-Reproducibility-of-Persistent-Homology-/artifacts/inputs/tfim_pbc_n4_g0p50__floating/distance_matrix.npy,,/mnt/c/Users/한구원/Desktop/Formal-Verification-and-Cross-Library-Reproducibility-of-Persistent-Homology-/artifacts/audit/cases/tfim_pbc_n4_g0p50__floating__p2__h2__full.json,PYTHONPATH=src python scripts/run_audit_conventions.py --conformance-dir artifacts --output-dir artifacts/audit --case-id tfim_pbc_n4_g0p50__floating__p2__h2__full
tfim_pbc_n4_g0p50__floating__p2__h2__full,tfim_pbc_n4_g0p50__floating,A,"TFIM PBC N=4, g=0.50",floating,2,3,2,1,full,1.1405648750053994,4,3512251ede57c0736500b2c075279f1e3be4adafd406694b1f21bd0967660530,,pbc,convention mismatch,zero-length bar reporting,The floating rerun adds endpoint drift on top of the same convention mismatch that persists after exact quantization.,True,True,False,3,2,3,2,0.0214310884475708,convention mismatch,False,unresolved,False,True,False,,False,convention mismatch,zero-length bar reporting,True,True,0,0,0,True,True,/mnt/c/Users/한구원/Desktop/Formal-Verification-and-Cross-Library-Reproducibility-of-Persistent-Homology-/artifacts/inputs/tfim_pbc_n4_g0p50__floating/distance_matrix.npy,,/mnt/c/Users/한구원/Desktop/Formal-Verification-and-Cross-Library-Reproducibility-of-Persistent-Homology-/artifacts/audit/cases/tfim_pbc_n4_g0p50__floating__p2__h2__full.json,PYTHONPATH=src python scripts/run_audit_conventions.py --conformance-dir artifacts --output-dir artifacts/audit --case-id tfim_pbc_n4_g0p50__floating__p2__h2__full
tfim_pbc_n4_g0p50__floating__p2__h2__full,tfim_pbc_n4_g0p50__floating,A,"TFIM PBC N=4, g=0.50",floating,2,3,2,2,full,1.1405648750053994,4,3512251ede57c0736500b2c075279f1e3be4adafd406694b1f21bd0967660530,,pbc,convention mismatch,zero-length bar reporting,"The disagreement is entirely unmatched zero-length bars, which only GUDHI reports.",True,True,False,1,1,1,1,0.0,convention mismatch,False,no discrepancy,True,True,False,,False,convention mismatch,zero-length bar reporting,True,True,0,0,0,True,True,/mnt/c/Users/한구원/Desktop/Formal-Verification-and-Cross-Library-Reproducibility-of-Persistent-Homology-/artifacts/inputs/tfim_pbc_n4_g0p50__floating/distance_matrix.npy,,/mnt/c/Users/한구원/Desktop/Formal-Verification-and-Cross-Library-Reproducibility-of-Persistent-Homology-/artifacts/audit/cases/tfim_pbc_n4_g0p50__floating__p2__h2__full.json,PYTHONPATH=src python scripts/run_audit_conventions.py --conformance-dir artifacts --output-dir artifacts/audit --case-id tfim_pbc_n4_g0p50__floating__p2__h2__full
