row,col,value,value_hex
0,0,0.0048828125,0x1.4000000000000p-8
0,1,0.0625,0x1.0000000000000p-4
1,0,0.0625,0x1.0000000000000p-4
1,1,0.0625,0x1.0000000000000p-4
1,2,0.0634765625,0x1.0400000000000p-4
2,1,0.0634765625,0x1.0400000000000p-4
2,2,0.0634765625,0x1.0400000000000p-4
2,3,0.0986328125,0x1.9400000000000p-4
3,2,0.0986328125,0x1.9400000000000p-4
3,3,0.0986328125,0x1.9400000000000p-4
3,4,0.615234375,0x1.3b00000000000p-1
4,3,0.615234375,0x1.3b00000000000p-1
4,4,0.615234375,0x1.3b00000000000p-1
4,5,0.615234375,0x1.3b00000000000p-1
5,4,0.615234375,0x1.3b00000000000p-1
5,5,0.0849609375,0x1.5c00000000000p-4
5,6,0.0849609375,0x1.5c00000000000p-4
6,5,0.0849609375,0x1.5c00000000000p-4
6,6,0.0478515625,0x1.8800000000000p-5
6,7,0.0478515625,0x1.8800000000000p-5
7,6,0.0478515625,0x1.8800000000000p-5
7,7,0.0224609375,0x1.7000000000000p-6
