case_id,benchmark_id,mode,coeff,maxdim,threshold_label,dimension,normalization_mode,library,interval_index,birth,death,birth_hex,death_hex
honeycomb_patch_2x2__floating__p2__h1__full,honeycomb_patch_2x2__floating,floating,2,1,full,0,drop_zero_length_intervals,ripser,0,0.0,1.0,0x0.0p+0,0x1.0000000000000p+0
honeycomb_patch_2x2__floating__p2__h1__full,honeycomb_patch_2x2__floating,floating,2,1,full,0,drop_zero_length_intervals,ripser,1,0.0,1.0,0x0.0p+0,0x1.0000000000000p+0
honeycomb_patch_2x2__floating__p2__h1__full,honeycomb_patch_2x2__floating,floating,2,1,full,0,drop_zero_length_intervals,ripser,2,0.0,1.0,0x0.0p+0,0x1.0000000000000p+0
honeycomb_patch_2x2__floating__p2__h1__full,honeycomb_patch_2x2__floating,floating,2,1,full,0,drop_zero_length_intervals,ripser,3,0.0,1.0,0x0.0p+0,0x1.0000000000000p+0
honeycomb_patch_2x2__floating__p2__h1__full,honeycomb_patch_2x2__floating,floating,2,1,full,0,drop_zero_length_intervals,ripser,4,0.0,1.0,0x0.0p+0,0x1.0000000000000p+0
honeycomb_patch_2x2__floating__p2__h1__full,honeycomb_patch_2x2__floating,floating,2,1,full,0,drop_zero_length_intervals,ripser,5,0.0,1.0,0x0.0p+0,0x1.0000000000000p+0
honeycomb_patch_2x2__floating__p2__h1__full,honeycomb_patch_2x2__floating,floating,2,1,full,0,drop_zero_length_intervals,ripser,6,0.0,1.0,0x0.0p+0,0x1.0000000000000p+0
honeycomb_patch_2x2__floating__p2__h1__full,honeycomb_patch_2x2__floating,floating,2,1,full,0,drop_zero_length_intervals,ripser,7,0.0,inf,0x0.0p+0,inf
honeycomb_patch_2x2__floating__p2__h1__full,honeycomb_patch_2x2__floating,floating,2,1,full,0,drop_zero_length_intervals,dionysus,0,0.0,1.0,0x0.0p+0,0x1.0000000000000p+0
honeycomb_patch_2x2__floating__p2__h1__full,honeycomb_patch_2x2__floating,floating,2,1,full,0,drop_zero_length_intervals,dionysus,1,0.0,1.0,0x0.0p+0,0x1.0000000000000p+0
honeycomb_patch_2x2__floating__p2__h1__full,honeycomb_patch_2x2__floating,floating,2,1,full,0,drop_zero_length_intervals,dionysus,2,0.0,1.0,0x0.0p+0,0x1.0000000000000p+0
honeycomb_patch_2x2__floating__p2__h1__full,honeycomb_patch_2x2__floating,floating,2,1,full,0,drop_zero_length_intervals,dionysus,3,0.0,1.0,0x0.0p+0,0x1.0000000000000p+0
honeycomb_patch_2x2__floating__p2__h1__full,honeycomb_patch_2x2__floating,floating,2,1,full,0,drop_zero_length_intervals,dionysus,4,0.0,1.0,0x0.0p+0,0x1.0000000000000p+0
honeycomb_patch_2x2__floating__p2__h1__full,honeycomb_patch_2x2__floating,floating,2,1,full,0,drop_zero_length_intervals,dionysus,5,0.0,1.0,0x0.0p+0,0x1.0000000000000p+0
honeycomb_patch_2x2__floating__p2__h1__full,honeycomb_patch_2x2__floating,floating,2,1,full,0,drop_zero_length_intervals,dionysus,6,0.0,1.0,0x0.0p+0,0x1.0000000000000p+0
honeycomb_patch_2x2__floating__p2__h1__full,honeycomb_patch_2x2__floating,floating,2,1,full,0,drop_zero_length_intervals,dionysus,7,0.0,inf,0x0.0p+0,inf
honeycomb_patch_2x2__floating__p2__h1__full,honeycomb_patch_2x2__floating,floating,2,1,full,0,drop_zero_length_intervals_plus_float32_roundtrip,gudhi,0,0.0,1.0,0x0.0p+0,0x1.0000000000000p+0
honeycomb_patch_2x2__floating__p2__h1__full,honeycomb_patch_2x2__floating,floating,2,1,full,0,drop_zero_length_intervals_plus_float32_roundtrip,gudhi,1,0.0,1.0,0x0.0p+0,0x1.0000000000000p+0
honeycomb_patch_2x2__floating__p2__h1__full,honeycomb_patch_2x2__floating,floating,2,1,full,0,drop_zero_length_intervals_plus_float32_roundtrip,gudhi,2,0.0,1.0,0x0.0p+0,0x1.0000000000000p+0
honeycomb_patch_2x2__floating__p2__h1__full,honeycomb_patch_2x2__floating,floating,2,1,full,0,drop_zero_length_intervals_plus_float32_roundtrip,gudhi,3,0.0,1.0,0x0.0p+0,0x1.0000000000000p+0
honeycomb_patch_2x2__floating__p2__h1__full,honeycomb_patch_2x2__floating,floating,2,1,full,0,drop_zero_length_intervals_plus_float32_roundtrip,gudhi,4,0.0,1.0,0x0.0p+0,0x1.0000000000000p+0
honeycomb_patch_2x2__floating__p2__h1__full,honeycomb_patch_2x2__floating,floating,2,1,full,0,drop_zero_length_intervals_plus_float32_roundtrip,gudhi,5,0.0,1.0,0x0.0p+0,0x1.0000000000000p+0
honeycomb_patch_2x2__floating__p2__h1__full,honeycomb_patch_2x2__floating,floating,2,1,full,0,drop_zero_length_intervals_plus_float32_roundtrip,gudhi,6,0.0,1.0,0x0.0p+0,0x1.0000000000000p+0
honeycomb_patch_2x2__floating__p2__h1__full,honeycomb_patch_2x2__floating,floating,2,1,full,0,drop_zero_length_intervals_plus_float32_roundtrip,gudhi,7,0.0,inf,0x0.0p+0,inf
honeycomb_patch_2x2__floating__p2__h1__full,honeycomb_patch_2x2__floating,floating,2,1,full,0,drop_zero_length_intervals_plus_float32_roundtrip,ripser,0,0.0,1.0,0x0.0p+0,0x1.0000000000000p+0
honeycomb_patch_2x2__floating__p2__h1__full,honeycomb_patch_2x2__floating,floating,2,1,full,0,drop_zero_length_intervals_plus_float32_roundtrip,ripser,1,0.0,1.0,0x0.0p+0,0x1.0000000000000p+0
honeycomb_patch_2x2__floating__p2__h1__full,honeycomb_patch_2x2__floating,floating,2,1,full,0,drop_zero_length_intervals_plus_float32_roundtrip,ripser,2,0.0,1.0,0x0.0p+0,0x1.0000000000000p+0
honeycomb_patch_2x2__floating__p2__h1__full,honeycomb_patch_2x2__floating,floating,2,1,full,0,drop_zero_length_intervals_plus_float32_roundtrip,ripser,3,0.0,1.0,0x0.0p+0,0x1.0000000000000p+0
