row,col,value,value_hex
0,0,0.06205608111334001,0x1.fc5d08dcca7ebp-5
0,1,0.26594879215119677,0x1.1054e152cce4dp-2
1,0,0.26594879215119677,0x1.1054e152cce4dp-2
1,1,0.26594879215119677,0x1.1054e152cce4dp-2
1,2,0.472688376693654,0x1.e4086bfc64f03p-2
2,1,0.472688376693654,0x1.e4086bfc64f03p-2
2,2,0.472688376693654,0x1.e4086bfc64f03p-2
2,3,0.472688376693654,0x1.e4086bfc64f03p-2
3,2,0.472688376693654,0x1.e4086bfc64f03p-2
3,3,0.11249983417278343,0x1.cccca0493d8e1p-4
3,4,0.11249983417278343,0x1.cccca0493d8e1p-4
4,3,0.11249983417278343,0x1.cccca0493d8e1p-4
4,4,0.007530373388471043,0x1.ed82b36e1e6e3p-8
4,5,0.03134604672430729,0x1.00c96cb145f0fp-5
5,4,0.03134604672430729,0x1.00c96cb145f0fp-5
5,5,0.03134604672430729,0x1.00c96cb145f0fp-5
5,6,0.03134604672430729,0x1.00c96cb145f0fp-5
6,5,0.03134604672430729,0x1.00c96cb145f0fp-5
6,6,0.029146507165416183,0x1.dd894fc45b9f4p-6
6,7,0.029146507165416183,0x1.dd894fc45b9f4p-6
7,6,0.029146507165416183,0x1.dd894fc45b9f4p-6
7,7,0.01878398859083121,0x1.33c1c22be85c5p-6
