label,probe_value,probe_value_hex,gudhi,ripser,dionysus,all_equal,critical_value,critical_value_hex
below_min,0.004451301880180835,0x1.23b873fffffffp-8,0,0,0,True,,
after_0x1.23b8740000000p-8,0.004451301880180837,0x1.23b8740000001p-8,1,1,1,True,0.004451301880180836,0x1.23b8740000000p-8
after_0x1.74cc340000000p-6,0.022753763943910602,0x1.74cc340000001p-6,2,2,2,True,0.0227537639439106,0x1.74cc340000000p-6
after_0x1.8618020000000p-5,0.04761886969208718,0x1.8618020000001p-5,2,2,2,True,0.04761886969208717,0x1.8618020000000p-5
after_0x1.01c2200000000p-4,0.06292927265167238,0x1.01c2200000001p-4,2,2,2,True,0.06292927265167236,0x1.01c2200000000p-4
after_0x1.02d9cc0000000p-4,0.06319598853588106,0x1.02d9cc0000001p-4,2,2,2,True,0.06319598853588104,0x1.02d9cc0000000p-4
after_0x1.5ac2860000000p-4,0.08465816825628282,0x1.5ac2860000001p-4,2,2,2,True,0.0846581682562828,0x1.5ac2860000000p-4
after_0x1.9504660000000p-4,0.09888114780187608,0x1.9504660000001p-4,2,2,2,True,0.09888114780187607,0x1.9504660000000p-4
after_0x1.3b24520000000p-1,0.6155114769935609,0x1.3b24520000001p-1,1,1,1,True,0.6155114769935608,0x1.3b24520000000p-1
