row,col,value,value_hex
0,0,0.0625,0x1.0000000000000p-4
0,1,0.265625,0x1.1000000000000p-2
1,0,0.265625,0x1.1000000000000p-2
1,1,0.265625,0x1.1000000000000p-2
1,2,0.47265625,0x1.e400000000000p-2
2,1,0.47265625,0x1.e400000000000p-2
2,2,0.47265625,0x1.e400000000000p-2
2,3,0.47265625,0x1.e400000000000p-2
3,2,0.47265625,0x1.e400000000000p-2
3,3,0.1123046875,0x1.cc00000000000p-4
3,4,0.1123046875,0x1.cc00000000000p-4
4,3,0.1123046875,0x1.cc00000000000p-4
4,4,0.0078125,0x1.0000000000000p-7
4,5,0.03125,0x1.0000000000000p-5
5,4,0.03125,0x1.0000000000000p-5
5,5,0.03125,0x1.0000000000000p-5
5,6,0.03125,0x1.0000000000000p-5
6,5,0.03125,0x1.0000000000000p-5
6,6,0.029296875,0x1.e000000000000p-6
6,7,0.029296875,0x1.e000000000000p-6
7,6,0.029296875,0x1.e000000000000p-6
7,7,0.0185546875,0x1.3000000000000p-6
