case_id,benchmark_id,family,label,mode,coeff,maxdim,threshold_label,threshold_value,matrix_size,distance_matrix_hash,point_cloud_hash,exact_all_libraries,mismatch_dimensions
tfim_obc_n4_g1p00__floating__p3__h2__full,tfim_obc_n4_g1p00__floating,A,"TFIM OBC N=4, g=1.00",floating,3,2,full,9.73791661636864,4,8f15607882459d876eaba31fb91593342004b25f34320f84828e13291a03a627,,False,"0,1,2"
tfim_obc_n4_g1p00__quantized__p2__h1__selected,tfim_obc_n4_g1p00__quantized,A,"TFIM OBC N=4, g=1.00",quantized,2,1,selected,2.2587890625,4,b17ca8589e683af9da7d924df2e40fd3aded31caa45d06bd8d4142d61792f7aa,,True,
tfim_obc_n4_g1p00__quantized__p2__h1__full,tfim_obc_n4_g1p00__quantized,A,"TFIM OBC N=4, g=1.00",quantized,2,1,full,9.73828125,4,b17ca8589e683af9da7d924df2e40fd3aded31caa45d06bd8d4142d61792f7aa,,False,1
tfim_obc_n4_g1p00__quantized__p2__h2__selected,tfim_obc_n4_g1p00__quantized,A,"TFIM OBC N=4, g=1.00",quantized,2,2,selected,2.2587890625,4,b17ca8589e683af9da7d924df2e40fd3aded31caa45d06bd8d4142d61792f7aa,,True,
tfim_obc_n4_g1p00__quantized__p2__h2__full,tfim_obc_n4_g1p00__quantized,A,"TFIM OBC N=4, g=1.00",quantized,2,2,full,9.73828125,4,b17ca8589e683af9da7d924df2e40fd3aded31caa45d06bd8d4142d61792f7aa,,False,"1,2"
tfim_obc_n4_g1p00__quantized__p3__h1__selected,tfim_obc_n4_g1p00__quantized,A,"TFIM OBC N=4, g=1.00",quantized,3,1,selected,2.2587890625,4,b17ca8589e683af9da7d924df2e40fd3aded31caa45d06bd8d4142d61792f7aa,,True,
tfim_obc_n4_g1p00__quantized__p3__h1__full,tfim_obc_n4_g1p00__quantized,A,"TFIM OBC N=4, g=1.00",quantized,3,1,full,9.73828125,4,b17ca8589e683af9da7d924df2e40fd3aded31caa45d06bd8d4142d61792f7aa,,False,1
tfim_obc_n4_g1p00__quantized__p3__h2__selected,tfim_obc_n4_g1p00__quantized,A,"TFIM OBC N=4, g=1.00",quantized,3,2,selected,2.2587890625,4,b17ca8589e683af9da7d924df2e40fd3aded31caa45d06bd8d4142d61792f7aa,,True,
tfim_obc_n4_g1p00__quantized__p3__h2__full,tfim_obc_n4_g1p00__quantized,A,"TFIM OBC N=4, g=1.00",quantized,3,2,full,9.73828125,4,b17ca8589e683af9da7d924df2e40fd3aded31caa45d06bd8d4142d61792f7aa,,False,"1,2"
tfim_obc_n6_g0p50__floating__p2__h1__selected,tfim_obc_n6_g0p50__floating,A,"TFIM OBC N=6, g=0.50",floating,2,1,selected,1.2525237786025318,6,9f3351e65c9d89e3c8272c5e5846005822d2fa40b7ec1cc4531a29f59203b700,,False,"0,1"
